category_id,entity_id,position,product_id
393,472,0,192
479,473,0,192
381,474,0,193
412,475,0,193
469,476,0,193
382,477,0,194
393,478,0,194
479,479,0,194
381,480,0,195
412,481,0,195
480,482,0,195
381,483,0,196
412,484,0,196
468,485,0,196
381,486,0,197
412,487,0,197
468,488,0,197
384,489,0,198
398,490,0,198
449,491,0,198
384,492,0,199
398,493,0,199
449,494,0,199
384,495,0,200
398,496,0,200
449,497,0,200
384,498,0,201
398,499,0,201
449,500,0,201
384,501,0,202
400,502,0,202
383,503,0,203
397,504,0,203
394,505,0,204
483,506,0,204
382,507,0,205
394,508,0,205
483,509,0,205
382,510,0,206
394,511,0,206
484,512,0,206
381,513,0,207
411,514,0,207
487,515,0,207
381,516,0,208
411,517,0,208
487,518,0,208
381,519,0,209
411,520,0,209
487,521,0,209
381,522,0,210
411,523,0,210
487,524,0,210
381,525,0,211
411,526,0,211
487,527,0,211
381,528,0,212
